arquivo,sha256,tamanho_bytes,modificado_iso
.hashlib_teste.py.swx,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2025-11-11 17:29:05.966109
4913,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2025-11-11 17:28:25.485614
5036,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,2025-11-11 17:29:20.425110
gerador_hash.py,0fb42826c08258c04ef1f2cc471e45614fa4a1838169afb33f381342b042f0a3,926,2025-11-11 17:58:18.820824
hash_resultados.csv,91e116ee32682ad14fd072bbf5c23f3fda246122f06f1b0a1a183db28630d27e,177,2025-11-12 10:31:44.099254
hash_scanner.py,c41bf39aced85985fe1b0b807891b8c61a7f440ba61d29336e1471621aeecd85,2789,2025-11-12 11:03:02.456544
hashdesenhas.py,e1922aa09f681086337050691e51a782bc7981e15d7055f899a1c426d99a17cc,339,2025-11-12 10:41:07.371733
hashlib_teste.py,2ac8c5bf7b40a9fd2462bd3cb966643abd67ba7649f7c10bd499fe43694a47cb,457,2025-11-11 17:29:20.541327
manipulacao.py,cbc3bf1ea2f0b9d5f918f1caab04dbfba57626f9f3c86ab0741070782738153e,786,2025-11-12 10:31:05.161490
teste.txt,581aaf6196b599ac52fa37cfc0ce1050c399c1f6e71c0fd58a4f594e3f9d0183,6,2025-11-11 17:28:25.593138
teste02.txt,581aaf6196b599ac52fa37cfc0ce1050c399c1f6e71c0fd58a4f594e3f9d0183,6,2025-11-12 10:39:53.928825
verifica_integridade.py,d9c1e102227062246d4627d3813366d8878b9e90c5bdc12794e87c6f16adbf1d,387,2025-11-12 10:37:16.955710
